Intercept,Day of Week Seasonality,Trend,Events,Media,day_dt
1877926.7550633454,680686.4161540509,-7420.386664870712,0.0,166065.28118905047,2023-05-20
1877926.7550633454,700681.7676834032,-7810.933331442858,0.0,179678.26643756116,2023-05-21
1877926.7550633454,744151.4194835251,-8201.479998014993,0.0,179047.02322702252,2023-05-22
1877926.7550633454,715324.513535218,-8592.02666458714,0.0,182416.77880635145,2023-05-23
1877926.7550633454,706435.6426235562,-8982.573331159283,0.0,183719.09434739116,2023-05-24
1877926.7550633454,690636.9173104338,-9373.119997731426,0.0,184563.57637979902,2023-05-25
1877926.7550633454,667697.3358139893,-9763.66666430357,0.0,187733.63548516989,2023-05-26
1877926.7550633454,680686.4161540509,-10154.213330875704,0.0,191603.67077422785,2023-05-27
1877926.7550633454,700681.7676834032,-10544.75999744785,0.0,205373.70898862585,2023-05-28
1877926.7550633454,744151.4194835251,-10935.306664020003,11347.068928024237,210211.54275103612,2023-05-29
1877926.7550633454,715324.513535218,-11325.85333059213,0.0,211785.76772807023,2023-05-30
1877926.7550633454,706435.6426235562,-11716.399997164282,0.0,211557.6029605508,2023-05-31
1877926.7550633454,690636.9173104338,0.0,0.0,199933.1206467882,2023-06-01
1877926.7550633454,667697.3358139893,-1617.5962958868029,0.0,202364.2224117203,2023-06-02
1877926.7550633454,680686.4161540509,-3235.1925917736057,0.0,202026.838590857,2023-06-03
1877926.7550633454,700681.7676834032,-4852.788887660413,0.0,208697.39389975398,2023-06-04
1877926.7550633454,744151.4194835251,-6470.385183547211,0.0,203520.3788320094,2023-06-05
1877926.7550633454,715324.513535218,-8087.981479434013,0.0,203966.77043427347,2023-06-06
1877926.7550633454,706435.6426235562,-9705.577775320826,0.0,206390.17206534825,2023-06-07
1877926.7550633454,690636.9173104338,-11323.174071207604,0.0,216982.1902501087,2023-06-08
1877926.7550633454,667697.3358139893,-12940.770367094423,0.0,220019.64883058926,2023-06-09
1877926.7550633454,680686.4161540509,-14558.366662981229,0.0,234132.4083192297,2023-06-10
1877926.7550633454,700681.7676834032,-16175.962958868025,0.0,246325.45842749733,2023-06-11
1877926.7550633454,744151.4194835251,-17793.559254754808,0.0,245560.46245559407,2023-06-12
1877926.7550633454,715324.513535218,-19411.15555064165,0.0,244572.36311235587,2023-06-13
1877926.7550633454,706435.6426235562,-21028.751846528427,0.0,244894.31667889675,2023-06-14
1877926.7550633454,690636.9173104338,-22646.34814241521,0.0,247208.278289869,2023-06-15
1877926.7550633454,667697.3358139893,-24263.94443830202,0.0,249346.19307536597,2023-06-16
1877926.7550633454,680686.4161540509,-25881.540734188846,0.0,247446.4393471444,2023-06-17
1877926.7550633454,700681.7676834032,-27499.137030075628,0.0,263456.64005949796,2023-06-18
1877926.7550633454,744151.4194835251,-29116.733325962457,-30515.812949467614,272970.61101271835,2023-06-19
1877926.7550633454,715324.513535218,-30734.329621849232,0.0,280065.66327021393,2023-06-20
1877926.7550633454,706435.6426235562,-32351.92591773605,0.0,292935.97146784817,2023-06-21
1877926.7550633454,690636.9173104338,-33969.52221362287,0.0,301684.6503320886,2023-06-22
1877926.7550633454,667697.3358139893,-35587.118509509615,0.0,310570.7947499829,2023-06-23
1877926.7550633454,680686.4161540509,-37204.71480539649,0.0,315655.3615473227,2023-06-24
1877926.7550633454,700681.7676834032,-38822.3111012833,0.0,339574.973353121,2023-06-25
1877926.7550633454,744151.4194835251,-40439.90739717008,0.0,328878.19775281235,2023-06-26
1877926.7550633454,715324.513535218,-42057.50369305685,0.0,320581.962654612,2023-06-27
1877926.7550633454,706435.6426235562,-43675.0999889437,0.0,300387.04609962355,2023-06-28
1877926.7550633454,690636.9173104338,-45292.69628483042,0.0,291290.5880786166,2023-06-29
1877926.7550633454,667697.3358139893,-46910.292580717265,0.0,296383.9380166362,2023-06-30
1877926.7550633454,680686.4161540509,0.0,0.0,251908.02547315773,2023-07-01
1877926.7550633454,700681.7676834032,-809.7259177947336,0.0,246971.77174112364,2023-07-02
1877926.7550633454,744151.4194835251,-1619.4518355894672,0.0,230301.01415581946,2023-07-03
1877926.7550633454,715324.513535218,-2429.1777533842014,61025.35237000114,221201.88901085005,2023-07-04
1877926.7550633454,706435.6426235562,-3238.9036711789345,0.0,239181.39890701347,2023-07-05
1877926.7550633454,690636.9173104338,-4048.629588973666,0.0,259410.1199597633,2023-07-06
1877926.7550633454,667697.3358139893,-4858.355506768403,0.0,259431.50296349416,2023-07-07
